Year,Capacity (bits),Chip Area (mm^2),Density (Mb/mm^2),Source,note,References
1976,16384,35,0.0004464285714,ISSCC,,"K. Itoh, K. Shimohigashi, K. Chiba, K. Taniguchi and Y. Kawamoto, ""A high-speed 16K-bit NMOS RAM,"" 1976 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, Philadelphia, PA, USA, 1976, pp. 140-141."
1976,16384,21.8902788,0.0007137871629,ISSCC,,"C. Ahlquist, J. Breivogel, J. Koo, J. McCollum, W. Oldham and A. Renninger, ""A 16K dynamic RAM,"" 1976 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, Philadelphia, PA, USA, 1976, pp. 128-129."
1977,16384,17.870932,0.0008743248533,ISSCC,,"P. Schroeder and R. Proebsting, ""A 16K × 1 bit dynamic RAM,"" 1977 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, Philadelphia, PA, USA, 1977, pp. 12-13."
1978,16384,16.77416,0.0009314922476,ISSCC,,"P. Quinn, J. Early, W. Sander and T. Longo, ""A 16K × 1 I3L dynamic RAM,"" 1978 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, San Francisco, CA, USA, 1978, pp. 154-155."
1979,65536,24,0.002604166667,ISSCC,,"Ilbok Lee, R. Yu, F. Smith, S. Wong and M. Embrathiry, ""A 64Kb MOS dynamic RAM,"" 1979 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, Philadelphia, PA, USA, 1979, pp. 146-147."
1979,65536,40.42,0.001546264226,ISSCC,,"R. Cenker, D. Clemons, W. Huber, J. Petrizzi, F. Procyk and G. Trout, ""A fault-tolerant 64K dynamic RAM,"" 1979 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, Philadelphia, PA, USA, 1979, pp. 150-151."
1980,262144,41.58,0.006012506013,ISSCC,,"S. Matsue et al., ""A 256 K dynamic RAM,"" 1980 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, San Francisco, CA, USA, 1980, pp. 232-233."
1981,65536,22.27673,0.002805618239,ISSCC,,"S. Eaton, D. Wooten, W. Slemmer and J. Brady, ""A 100ns 64K dynamic RAM using redundancy techniques,"" 1981 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, New York, NY, USA, 1981, pp. 84-85."
1982,262144,46.8,0.005341880342,ISSCC,,"M. Ishihara, T. Matsumoto, S. Shimizu, K. Mitsusada, K. Shimohigashi and T. Mano, ""A 256K dynamic MOS RAM with alpha immune and redundancy,"" 1982 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, San Francisco, CA, USA, 1982, pp. 74-75."
1982,294912,59,0.004766949153,ISSCC,,"B. Fitzgerald and E. Thoma, ""A 288Kb dynamic RAM,"" 1982 IEEE International Solid-State Circuits Conference. Digest of Technical Papers, San Francisco, CA, USA, 1982, pp. 68-69."
