Year,Capacity (bits),Chip Area (mm^2),Density (Mbit/mm^2),Bits/cell,Source,note,References
1989,4194304,163.71,0.02443344939,1,ISSCC,SLC,"Y. Itoh et al., ""An experimental 4 Mb CMOS EEPROM with a NAND structured cell,"" IEEE International Solid-State Circuits Conference, 1989 ISSCC. Digest of Technical Papers, New York, NY, USA, 1989, pp. 134-135."
1995,33554432,94.9,0.3371970495,1,ISSCC,SLC,"Kang-Deog Suh et al., ""A 3.3 V 32 Mb NAND flash memory with incremental step pulse programming scheme,"" Proceedings ISSCC '95 - International Solid-State Circuits Conference, San Francisco, CA, USA, 1995, pp. 128-129."
1995,33554432,104.3868,0.3065521694,1,ISSCC,SLC,"K. Imamiya et al., ""A 35 ns-cycle-time 3.3 V-only 32 Mb NAND flash EEPROM,"" Proceedings ISSCC '95 - International Solid-State Circuits Conference, San Francisco, CA, USA, 1995, pp. 130-131."
1996,134217728,117,1.094017094,2,ISSCC,MLC,"Tae-Sung Jung et al., ""A 3.3 V 128 Mb multi-level NAND flash memory for mass storage applications,"" 1996 IEEE International Solid-State Circuits Conference. Digest of TEchnical Papers, ISSCC, San Francisco, CA, USA, 1996, pp. 32-33."
1999,268435456,129.76,1.972872996,1,ISSCC,SLC,"K. Imamiya et al., ""A 130 mm/sup 2/ 256 Mb NAND flash with shallow trench isolation technology,"" 1999 IEEE International Solid-State Circuits Conference. Digest of Technical Papers. ISSCC. First Edition (Cat. No.99CH36278), San Francisco, CA, 1999, pp. 112-113."
2001,1073741824,116.7,8.774635818,2,ISSCC,MLC,"Taehee Cho et al., ""A 3.3 V 1 Gb multi-level NAND flash memory with non-uniform threshold voltage distribution,"" 2001 IEEE International Solid-State Circuits Conference. Digest of Technical Papers. ISSCC (Cat. No.01CH37177), San Francisco, CA, USA, 2001, pp. 28-29."
2002,1073741824,129.6,7.901234568,1,ISSCC,SLC,"J. Lee et al., ""A 1.8 V 1 Gb NAND flash memory with 0.12 /spl mu/m STI process technology,"" 2002 IEEE International Solid-State Circuits Conference. Digest of Technical Papers (Cat. No.02CH37315), San Francisco, CA, USA, 2002, pp. 104-450 vol.1."
2002,1073741824,125.2,8.178913738,1,ISSCC,SLC,"H. Nakamura et al., ""A 125 mm/sup 2/ 1Gb NAND flash memory with 10 MB/s program throughput,"" 2002 IEEE International Solid-State Circuits Conference. Digest of Technical Papers (Cat. No.02CH37315), San Francisco, CA, USA, 2002, pp. 106-450 vol.1."
2003,2147483648,141,14.5248227,1,ISSCC,SLC,"June Lee et al., ""A 1.8 V 2 Gb NAND flash memory for mass storage applications,"" 2003 IEEE International Solid-State Circuits Conference, 2003. Digest of Technical Papers. ISSCC., San Francisco, CA, USA, 2003, pp. 290-494 vol.1"
2004,4294967296,127.3,32.17596229,2,ISSCC,MLC,"Seungjae Lee et al., ""A 3.3 V 4 Gb four-level NAND flash memory with 90 nm CMOS technology,"" 2004 IEEE International Solid-State Circuits Conference (IEEE Cat. No.04CH37519), San Francisco, CA, 2004, pp. 52-513 Vol.1."
2005,8589934592,133,61.59398496,2,ISSCC,MLC,"Dae-Seok Byeon et al., ""An 8 Gb multi-level NAND flash memory with 63 nm STI CMOS process technology,"" ISSCC. 2005 IEEE International Digest of Technical Papers. Solid-State Circuits Conference, 2005., San Francisco, CA, 2005, pp. 46-47 Vol. 1."
2005,8589934592,146,56.10958904,2,ISSCC,MLC,"T. Hara et al., ""A 146 mm/sup 2/ 8 Gb NAND flash memory with 70 nm CMOS technology,"" ISSCC. 2005 IEEE International Digest of Technical Papers. Solid-State Circuits Conference, 2005., San Francisco, CA, 2005, pp. 44-584 Vol. 1."
2006,8589934592,98.8,82.91497976,2,ISSCC,MLC,"K. Takeuchi et al., ""A 56nm CMOS 99mm2 8Gb Multi-level NAND Flash Memory with 10MB/s Program Throughput,"" 2006 IEEE International Solid State Circuits Conference - Digest of Technical Papers, San Francisco, CA, 2006, pp. 507-516."
2006,4294967296,140,29.25714286,2,ISSCC,MLC,"R. Micheloni et al., ""A 4Gb 2b/cell NAND Flash Memory with Embedded 5b BCH ECC for 36MB/s System Read Throughput,"" 2006 IEEE International Solid State Circuits Conference - Digest of Technical Papers, San Francisco, CA, 2006, pp. 497-506."
2008,8589934592,169.5,48.33038348,1,ISSCC,SLC**,"D. Nobunaga et al., ""A 50nm 8Gb NAND Flash Memory with 100MB/s Program Throughput and 200MB/s DDR Interface,"" 2008 IEEE International Solid-State Circuits Conference - Digest of Technical Papers, San Francisco, CA, 2008, pp. 426-625."
2008,4294967296,,,2,ISSCC,"3D, MLC","K. Park et al., ""A 45nm 4Gb 3-Dimensional Double-Stacked Multi-Level NAND Flash Memory with Shared Bitline Structure,"" 2008 IEEE International Solid-State Circuits Conference - Digest of Technical Papers, San Francisco, CA, 2008, pp. 510-632."
