Year,SRAM cell area (um^2),SRAM density (bit/mm^2),CGP (um),M1 Pitch (um),CGP x M1 (um^2),Source,Note,,References,,
1965,46805555.56,0.02136498516,5183,901,,[5] [6] ,Fairchild,SRAM PMOS 6-T AI-gate (Engineering sampling ),[1] ,"A 0.8-pm CMOS Technology
for High-Performance ASIC
Memory and Channelless, IEEE JOURNAL OF SOLID-STATE CIRCUITS
Gate Array ",it's a review paper 
1969,20600,48.54368932,,,,[2] ,mentioned in the text ,,[2],1986-Trends in Advanced Process TechnologySubmicrometer CMOS Device Design and Process Requirements,
1975,1334.8313,749.1583393,,,,[2],INTEL 16K,4 Transistor static - NMOS or CMOS ,[3],"M. Isobe, J. Matsunaga, T. Sakurai, T. Ohtani, K. Sawada, H. Nozawa, T. lizuka, and S. Kohyama, “A 46 ns 256 K CMOS RAM,” in IEEE  lnt. Solid State Circuits Conf. Tech. Dig., pp. 214-215, 1984",
1975,989.9259,1010.17662,,,,[2],INTEL 32K,4 Transistor static - NMOS or CMOS ,[4],Technology and Device Scaling Consideration for CMOS Images (1996),
1977,842.74774,1186.594698,,,,[2],MITSUBISHI 16K,4 Transistor static - NMOS or CMOS ,[5],Evolution of MOS Transistor-From Conception to VLSI (1988),
1977,747.7065,1337.423173,,,,[2],NEC 16K,4 Transistor static - NMOS or CMOS ,[6],AN INTEGRATED SEMICONDUCTOR MEMORY SYSTEM (1965),
1977,1000.8047,999.195947,,,,[2],INTEL 16 K,Fully static - Single Poly or Metal,[7],"M. Bohr, et al., IEDM, 1994",
1977,1111.1724,899.9503587,,,,[2],TOSHIBA 16K,Fully static - Single Poly or Metal,[8],"M. Bohr, et al., IEDM, 1996",
1979,760.6233,1314.711237,,,,[2],TOSHIBA 16K,Fully static - Single Poly or Metal,[9],"S. Yang, et al., IEDM 1998",
1980,781,1280.409731,,,,[4],,,[10],"S. Tyagi, et al., IEDM 2000",
1981,377.8352,2646.656532,,,,[2],HITACHI 4K,4 Transistor static - NMOS or CMOS ,[11],"S. Thompson, et al., IEDM, 2002",
1981,348.0083,2873.494684,,,,[2],NEC64K,Fully static - Double Poly or Metal,[12],"P. Bai, et al., IEDM, 2004",
1981,322.94116,3096.53932,,,,    ,TOSHIBA 64K,Fully static - Double Poly or Metal,[13],"K. Mistry, et al., IEDM, 2007",
1981,306.47644,3262.893552,,,,[2],INTEL 64K,4 Transistor static - NMOS or CMOS ,[14],"C.-H. Jan, et al., IEDM, 2009",
1981,290.8511,3438.185381,,,,[2],HITACHI 64K,4 Transistor static - NMOS or CMOS ,[15],"C. Auth, et al., VLSI-T, 2012",
1981,267.91623,3732.509971,,,,[2],TOSHIBA 64K,4 Transistor static - NMOS or CMOS ,[16],"S. Natarajan, et al., IEDM, 2014",
1983,279.135,3582.495925,,,,[2],NEC64K,4 Transistor static - NMOS or CMOS ,[17],"H.-J. Cho (Samsung), VLSI-T, 2016",
1983,313,3194.888179,,,,[4],,,[18],"C. Auth et al., (Intel), A 10nm High Performance and Low-Power CMOS Technology Featuring 3rd Generation FinFET Transistors, Self-Aligned Quad Patterning, Contact over Active Gate and Cobalt Local Interconnects , IEDM, 2017",
1984,148.5,6734.006734,,,,"[2],[3]",,,[19],"S. Narasimha et al., (GLOBALFOUNDRIES), A 7nm CMOS Technology Platform for Mobile and High Performance Compute Application, IEDM , 2017 ",
